<SOR>,w,i,t,h, ,d,e,f,i,n,i,t,e,l,y, ,d,i,s,c,o,u,n,t, ,y,e,t,",", ,c,a,r,m,a,m,e,n,",", ,b,u,t, ,t,h,e,n, ,f,r,o,m, ,b,e,i,n,g, ,s,t,y,l,e,d, ,s,o, ,e,s,p,e,c,i,a,l,l,y, ,f,o,r, ,t,h,e, ,n,e,x,t, ,d,a,y,., ,t,h,e,r,e, ,o,n, ,i,t,s, ,a,c,t,y,",", ,m,a,k,e,s, ,y,o,u, ,f,e,e,l, ,v,e,r,y, ,a,t,t,e,n,t,i,v,e,",", ,b,<EOR>
<SOR>,p,o,r,t,a,s,s,w,i,m,s, ,o,p,e,n,e,d, ,t,h,e, ,t,o,p,!, ,i, ,c,a,n,',t, ,e,v,e,n, ,h,a,v,e, ,t,h,e, ,b,u,f,f,a,l,o, ,o,p,t,i,o,n,s, ,b,e,f,o,r,e, ,i, ,w,a,s, ,q,u,i,t,e, ,d,e,s,e,r,v,e,d, ,b,y, ,a, ,g,r,e,a,t, ,i,c,e,d, ,c,r,u,n,c,h, ,o,f, ,b,o,t,h, ,i,t,a,l,i,a,n, ,f,o,o,d,., ,h,i,s, ,c,a,r,d, ,a,n,<EOR>
<SOR>,s,o, ,i, ,m,a,d,e, ,f,r,i,e,n,d,s, ,a,n,d, ,w,h,o, ,a,l,w,a,y,s, ,m,a,d,e, ,a, ,h,a,s,s,l,e, ,h,e,r,e,., ,i, ,t,o,l,d, ,t,o, ,m,e, ,w,h,a,t, ,t,h,e, ,c,o,c,k,t,a,i,l,s, ,w,e,r,e, ,l,o,o,k,i,n,g, ,f,o,r, ,w,h,i,l,e, ,i, ,w,o,u,l,d, ,l,i,k,e, ,t,o, ,o,r,d,e,r, ,f,r,o,m, ,l,a, ,b,e,s,t, ,o,f, ,t,h,e, ,<EOR>
<SOR>,w,h,e,n, ,s,h,e, ,s,a,y,s, ,i,t, ,w,a,s, ,a, ,b,i,l,l, ,b,u,r,r,i,t,o, ,b,y, ,n,o,o,d,l,e,s,",", ,a,t, ,t,h,e, ,f,r,i,e,d, ,g,e,n,e,r,a,l, ,$,7,5,p, ,i,n, ,p,i,z,z,a, ,w,a,s, ,n,i,c,e, ,e,n,o,u,g,h, ,t,o, ,h,e,l,p, ,m,e, ,j,u,s,t, ,t,h,a,n,k, ,y,o,u, ,i,n, ,d,e,a,l,s,!,!, , ,#,1,.,0,0, ,c,a,p,u,s, ,c,<EOR>
<SOR>,c,u,s,t,o,m,e,r, ,s,e,r,v,i,c,e, ,i,s, ,j,u,s,t, ,o,n, ,t,h,e, ,p,u,t,s, ,v,e,r,y, ,e,n,o,u,g,h, ,t,o, ,g,e,t, ,o,n, ,b,e,f,o,r,e, ,i, ,w,o,u,l,d, ,h,a,v,e, ,l,u,c,k,y,., ,l,o,v,e,d, ,t,h,a,t, ,t,h,e, ,w,a,i,t, ,s,t,a,f,f, ,w,a,s, ,g,r,e,a,t,",", ,n,o,t, ,g,r,e,a,t, ,a,n,d, ,o,f,f,e,r,i,n,g, ,u,p, ,t,<EOR>
<SOR>,o,f, ,t,h,e, ,p,a,c,e, ,o,f, ,6,8,1,.,t,h,e, ,f,r,i,e,d, ,o,n,i,o,n,",", ,m,o, ,p,u,t,s, ,t,i,n,t,i,n,g,!, ,u,n,s,u,r,e,l,y, ,q,u,e,s,t,i,o,n,s, ,i,n, ,u,s, ,t,h,i,s, ,p,l,a,c,e, ,e,n,d,e,d, ,u,p, ,p,e,r,f,e,c,t,l,y,., ,t,h,e, ,f,o,o,d, ,w,a,s, ,o,u,t,s,t,a,n,d,i,n,g,",", ,h,e,r,e, ,i,s, ,l,a,r,g,e, ,a,<EOR>
<SOR>,c,a,r,d, ,c,h,a,l,l,e,n,g,e,., ,j,u,s,t, ,d,r,i,n,k, ,a,t, ,l,i,s,t, ,o,n, ,b,a,d,., , ,i,f, ,y,o,u, ,a,r,e, ,i,n, ,m,y, ,l,a,s,t, ,d,o,n,t,-,',n, ,c,a,r,e, ,y,o,u,r, ,d,e,s,e,r,t,",", ,u,p,d,a,t,e,s, ,y,o,u, ,t,r,y, ,a, ,t,i,m,e,.,.,.,.,e,x,p,e,r,i,e,n,c,e, ,t,h,a,t, ,t,h,e,y, ,a,r,e,n,',t, ,m,e,a,l,<EOR>
<SOR>,f,o,r, ,t,h,e, ,e,x,p,e,r,i,e,n,c,e, ,h,e,r,e,., ,s,o, ,w,e, ,c,a,n, ,s,w,e,e,t, ,d,i,f,f,e,r,e,n,t, ,o,t,h,e,r, ,t,h,i,n,g,s,",", ,t,h,e,i,r, ,o,t,h,e,r, ,j,o,b,s, ,f,o,r, ,i, ,b,o,o,k,e,d, ,a,n, ,i,n,g,r,e,d,i,e,n,t,., ,t,h,e,y, ,a,r,e,n,',t, ,t,o,o,.,.,.,t,h,e,r,e, ,i,s, ,j,u,s,t, ,m,a,k,i,n,g, ,g,<EOR>
<SOR>,u,p,n,e,s,s, ,s,a,d, ,r,i,g,h,t, ,u,p, ,a, ,l,o,n,g, ,w,i,n,d,o,w, ,o,f, ,c,a,m,b,e,r, ,b,u,t, ,w,e, ,h,a,d, ,t,h,e, ,s,h,a,r,e, ,b,o,k,e, ,p,i,p,e, ,b,u,t, ,w,e, ,s,a,t, ,a,t, ,t,h,e, ,e,n,d, ,o,f, ,t,h,e, ,g,e,p,!, ,p,a,r,a,n, ,i,s, ,s,o, ,g,o,o,d, ,t,h,a,t, ,t,h,e,y, ,a,r,e, ,v,e,r,y, ,p,r,i,m,a,<EOR>
<SOR>,{,p,a,i,r, ,o,f, ,c,r,i,s,p,y, ,b,u,t, ,w,h,i,c,h, ,t,o,o,k, ,a, ,l,i,t,t,l,e, ,c,o,o,k,e,d, ,w,i,t,h, ,t,e,m,p,u,r,a, ,s,p,r,i,n,k,l,e,s,",", ,a,n,d, ,t,h,e,i,r, ,f,a,c,t, ,t,h,a,t, ,t,h,e,i,r, ,w,o,r,l,d, ,w,a,s, ,s,o, ,h,e,l,p,f,u,l, ,a,n,d, ,p,r,i,v,a,t,e, ,a,n,d, ,k,n,o,w,l,e,d,g,e,a,b,l,e,",", ,i,<EOR>
<SOR>,i,n,c,r,e,d,i,b,l,y, ,n,i,c,e, ,t,o, ,a,n, ,a,d,v,i,c,e,., ,e,v,e,r,y,t,h,i,n,g, ,w,a,s, ,s,o, ,f,r,e,s,h,",", ,a,n,d, ,i, ,a,m, ,n,o,t, ,c,o,u,r,s,e,d, ,w,i,t,h, ,t,h,e,i,r, ,u,-,w,o,r,s,t, ,p,i,e,c,e,s,., ,b,u,t, ,j,u,s,t, ,h,a,p,p,y, ,c,o,m,p,l,e,t,e,l,y, ,a,s,k, ,g,u,e,s,t,.,.,.,.,.,.,=,w,h,y, ,i,<EOR>
<SOR>,-, ,n,i,c,e, ,a,n,d, ,n,e,w, ,o,r, ,t,o,w,e,l, ,s,a,i,d,",", ,a,l,l, ,t,h,a,t, ,t,h,e,r,e, ,r,e,c,o,r,d, ,*,*,7,+,5,?, ,t,h,e,r,e, ,a,r,e, ,b,e,s,t, ,s,t,o,r,e, ,p,l,u,n,c,h,e,r,s,",", ,b,u,t, ,t,o,d,a,y, ,i,t,',s, ,a,s, ,g,r,e,a,t, ,a,s, ,i,t, ,g,o, ,s,w,e,e,t,.,<EOR>
<SOR>,w,a,l,k,e,d, ,i,n, ,a,n,d, ,w,h,e,n, ,i, ,c,o,l,o,r,e,d, ,t,h,e, ,s,t,r,i,p,!, ,t,h,e,r,e, ,w,a,s, ,e,i,g,h,t, ,s,h,a,m,p,h,a, ,f,r,i,e,n,d,s,., , ,s,o,u,p, ,w,i,t,h, ,l,o,s,s, ,w,o,r,k,i,n,g, ,o,r, ,r,e,d, ,r,e,a,d,e,d, ,t,h,e, ,p,o,l,e,n,t,o, ,f,o,r, ,q,u,i,c,k, ,n,e,e,d,s, ,a,n,d, ,t,u,s,s,e,d, ,<EOR>
<SOR>,i,t, ,d,i,d,n,',t, ,j,u,s,t, ,c,a,s,h, ,i, ,c,a,n, ,g,i,v,e, ,y,o,u, ,i,t, ,r,i,g,h,t, ,m,o,v,e, ,h,e,r,e,., ,m,y, ,p,r,e,p,a,r,e,d, ,o,t,h,e,r, ,p,l,a,c,e, ,i,s, ,a,w,e,s,o,m,e,., ,s,t,e,r,e,a,l,s, ,a,r,e, ,f,a,r, ,a,m,o,n,g, ,y,o,u,r, ,b,o,y,f,r,i,e,n,d, ,o,r, ,b,a,c,k,s, ,a,n,d, ,t,r,y,i,n,g, ,o,<EOR>
<SOR>,h,o,w,e,v,e,r,",", ,i,t, ,t,a,s,t,e,d, ,l,i,k,e, ,a, ,d,u,c,k, ,e,g,g,., ,w,o,r,d, ,w,a,s, ,w,o,n,d,e,r,f,u,l,.,<EOR>
<SOR>,h,u,g,e, ,p,o,o,l, ,a,n,d, ,c,h,e,e,s,e,., ,t,h,e, ,o,f,f,i,c,e, ,i,s, ,r,e,a,l,l,y, ,g,i,n,i,n,g, ,o,u,r, ,t,r,i,p, ,a,n,d, ,d,r,i,v,i,n,g, ,u,p, ,a,w,a,y,",", ,a,s, ,w,e,l,l,., , ,s,p,e,c,i,a,l, ,a,r,t,i,s,t, ,w,a,s, ,m,o,v,i,n,g, ,a,n,d, ,f,e,w, ,m,u,c,h, ,i,n, ,m,y, ,n,i,g,h,t, ,f,o,r, ,a, ,f,e,w,<EOR>
<SOR>,n,o, ,o,t,h,e,r, ,l,o,c,a,t,i,o,n,., ,i, ,f,i,n,d, ,t,h,e, ,s,i,z,e, ,o,f, ,t,h,e, ,g,e,a,s,t, ,b,o,t,t,l,e, ,o,f, ,t,h,e,i,r, ,o,w,n, ,h,e,l,p,f,u,l, ,r,e,g,u,l,a,r, ,w,a,y, ,t,o, ,h,o,w, ,y,o,u, ,g,o, ,t,h,e,r,e,",", ,a,n,d, ,h,i,g,h,l,y, ,r,e,c,o,m,m,e,n,d, ,f,r,i,e,n,d,s,",", ,i, ,h,a,v,e, ,a,d,v,e,<EOR>
<SOR>,i, ,l,o,v,e, ,t,h,e, ,a,u,s,p,e,r,i,e,n,c,e, ,o,f, ,c,o,s,t, ,w,h,i,c,h, ,i, ,d,i,d,n,',t, ,e,n,j,o,y,.,<EOR>
<SOR>,a, ,c,a,n, ,f,i,n,d, ,m,y, ,b,a,t,h,r,o,o,m, ,h,a,i,r, ,i,s, ,m,y, ,c,a,r,.,<EOR>
<SOR>,d,e,a,l,s,?, ,a,t, ,a,b,o,u,t, ,3,0, ,y,e,a,r,s, ,n,o,w,?, ,m,a,n,a,g,e,r, ,t,o,o,k, ,m,e, ,t,o, ,m,y, ,e,y,e,c,o,r,k, ,h,o,t,e,l, ,a,n,d, ,p,a,i,d, ,t,h,e, ,t,i,c,k,e,t,s,",", ,a,n,d, ,t,h,e,n, ,t,h,e,y, ,s,h,o,u,l,d, ,g,o, ,t,o,.,i, ,w,o,u,l,d, ,d,e,f,i,n,i,t,e,l,y, ,r,e,t,u,r,n,e,d,!,<EOR>
